tratamento,1A,1B,1C,1D,1E,1F,2A,2B,2C,2D,2E,2F,3A,3B,3C,3D,3E,3F,4A,4B,4C,4D,4E,4F,5A,5B,5C,5D,5E,5F,6A,6B,6C,6D,6E,6F,7A,7B,7C,7D,7E,7F,8A,8B,8C,8D,8E,8F,9A,9B,9C,9D,9E,9F,1G,1H,1I,1J,2G,2H,2I,2J,3G,3H,3I,3J,4G,4H,4I,4J,6G,6H,6I,6J,5G,5H,5I,5J,8G,8H,8I,8J,7G,7H,7I,7J,9G,9H,9I,9J
2,,,,,,,Partially disagree,"O nome do teste poderia ser mais objetivo para aquilo que o teste realmente faz. Particulamente, o ""or"" de ""CreatesFixedOrderComparatorTakingObjectArray"" da uma ideia que o resutado do teste pode mudar.",automatically,"Escoleria esse porque o nome é curto e objetivo. Se bem que em alguns casos o nome do teste mais detalhado é necessário. Mas, nao se aplica nesse caso.",automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Os testes estao separados e com nome dos métodos bem definidos. (O numero 1 e o 3 chega à dar agonia de ler haha),Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,manually,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O nome dos métodos de testes estão mais descritivos no código D,Code D,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fully agree,"O teste avalia o lançamento de exceção, concordando com o nome sugerido.",manually,As outras opções não selecionadas não são auto-explicativas.,manually,O nome menor apresentou o significado mais claro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code C,O nome do teste ajuda na interpretação e apresenta menos repetição de trechos.,Code C,Código mais legível e sem redundâncias.,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,"O teste faz bastante coisas internas o que faz com que o nome fique extenso, deveria ser mais direto no teste, e retirar números do nome",manually,"O nome está bacana, mas usaria Camel case, dado que é o padrão de Java",manually,Não apareceu a listagem abaixo para comparar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Ainda precisa deixar as variáveis internas mais descritivas,Code D,"O d, por facilitar entendimento"
2,,,,,,,Fully disagree,,manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither,"Em comparação ao nome que está melhora bastante, melhora a compreensão do que o método de teste faz, porém não é possível identificar o objetivo do método com esse nome.",manually,Melhora a compreensão do objetivo do método dentre as outras opções.,manually,"O método da linha 166 faz uma sobrecarga passando 2 argumentos (não 3) e verificando um possível lançamento de exceção (Index out of bounds), portanto o primeiro nome descreve mais corretamente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Nome do método mais indicativo do real propósito. ,Code D,Já respondido na última justificativa.,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,manually,"acredito que o teste é verificado nos asserts, então é o que fez sentido nessa linha de pensamento. ",automatically,"a excepciona lançada é OutOfRange, não verifica String. Mesmo assim, considero o melhor nome.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Considero o C bem mais enxuto, atende o objetivo. Mas o D, tem mais detalhes, apenas lendo o nome do método fica claro o objetivo do teste.",Code C,"Adicionaria o C, mas dependendo do tempo a intenção seria chegar no D.",,,,,,,,,,,,
2,,,,,,,Neither,"Acredito que o nome do teste poderia ser ajustado, com o intuito de melhorar a sua legibilidade e indicar de forma mais objetiva o que está sendo testado.",manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Na minha opinião, a divisão dos casos de teste em métodos individuais e a melhor nomeação de cada um deles tornou o código D mais legível.",Code D,"Pela melhor legibilidade do código D, eu acredito que ele seja a melhor escolha para adicionar à suite de testes, se comparado aos outros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,"a partir desse nome, ainda não consigo saber o que o método se propoẽ em testar",manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O D é um pouco mais legível pois os métodos de testes estão nomeados e separados. mas todos o resto está horrível tanto quanto as outras opções,Code D,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Partially disagree,,automatically,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Neither,"Acredito que é um nome aceitável para o teste, dado que o problema a ser validado é justamente derivado de um dos valores passados nos 3 argumentos, e isso é mencionado no nome proposto. Porém, de maneira genérica, acredito que ficaria melhor se tivesse algo mais voltado a causa do problema a ser validado, como por exemplo ""testFailsToCreateElitisticListPopulationWithNegativeArgument"".",automatically,Dentre as opções acredito que seria o nome que mais condiz com o que está sendo validado.,manually,"Acho que é a opção que mais condiz com um possível teste que use a linha mencionada (236), dado que o nome remete a um objetivo de validação a ser realizado com o Iterator de Chromosome.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,No código D cada teste aparentemente tem um objeto específico e também os testes são nomeados de acordo com seu propósito.,Code D,"Como falado anteriormente, no código D existe uma separação importante das funcionalidades testadas (Isolamento), eu só removeria o código ""java.lang.String str3 = elitisticListPopulation2.toString();"" do teste ""automatically"" pois está ""perdido"" ou  não tem significância dentro dele.",,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,automatically,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code C,,Code C,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Partially agree,O nome do teste dispensa comentários. Ele já nos leva a saber o que será testado.,automatically,O nome automatically declara o que está sendo realizado no teste.,automatically,"O método é um iterator, logo o nome automatically já ajuda a saber o que está sendo testado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Os nomes dos métodos de teste dizem claramente o objetivo do teste. Isso ajuda na compreensão.,Code D,Por ser o que possui melhor legibilidade.,,,,,,,,,,,,,,,,,,,,
1,Partially agree,,automatically,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same readability,,Code A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,É um nome um pouco mais difícil porque não saberemos ao certo o que será testado. Seria mais interessante dividir esse teste em 2 ou mais.,manually,Um nome mais descritivo para exemplificar o que o método testará: se o iterador de cromossomos será nulo.,manually,"A linha 64 tem um if para verificar se o parâmetro listPopulation é <= 0 e caso seja deve lançar uma exceção. Logo o nome ""Deve lançar exceção se a populaçãoLimit não tem valor positivo"" teria um nome bem mais descritivo e quem fizer a leitura só a partir do nome do método já pode ter uma clara ideia do que está sendo testado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Nomes de métodos mais descritivos e variáveis melhores descritas também. Além disso, há a separação dos testes para diferentes casos de uso.",Code D,Por ser o código mais legível entre os citados seria o que eu adicionaria em minha base de código.,,,,,,,,,,,,,,,,
2,,,,,,,Partially agree,Clareza na função do que teste valida. Mas talvez ele poderia ser mais direto,automatically,Verbosidade não quer dizer o que vc realmente está testando,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Os testes do código D mostram mais estruturados e claros com relação a função do teste.,Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,Seria melhor especificar ao que os valores negative e false correspondem,manually,Pois é bem mais fácil de ler e bem mais explicativo,manually,Pois é totalmente necessário realizar um teste com um index inválido para essa linha de código,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Pois os nomes sao descritivos e os testes sao bem modularizados,Code D,Pois os nomes sao descritivos e os testes sao bem modularizados,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,automatically,É importante o nome do método explicar de forma sucinta o que vai o teste que vai executar.,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,A nomenclatura dos métodos que indicam o que irão fazer e por ter mais de caso de teste aumentando a cobertura.,Code C,"Porque valida os 2 cenários, mesmo tendo apenas um método tem os asserts necessários para testar os dois trechos de código.",,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fully agree,"Sigo a linha de que o nome do teste deve indicar a ação realizada e o resultado esperado, por isso considero adequado o nome sugerido.",manually,,manually,O nome descreve bem o cenário para execução da linha 64.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code C,"Acho esse o trecho de código mais conciso, embora o nome do teste não seja o mais adequado.",Code C,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Neither,,manually,O nome da função é menor e a frase é mais direta. Além disso é indicado a causa que vai gerar o erro (numero não positivo),automatically,O nome se aproxima do nome do método,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O nome da maioria dos métodos é significativo e não são grandes. O corpo dos métodos são pequenos e mais fáceis de ler.,Code D,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Neither,Não entendi o que o teste quer fazer. Não saberia dizer o que diz respeito à variável wildcardClass6 ,manually,"Eu não usaria nenhuma das respostas. O caso de teste não deve falhar. Começar um método colocando ""throwException"" também não é algo que usaria. Eu usaria o nome do caso de teste. Por exemplo: testPopulationLimitWithNoPositiveValue",automatically,"Novamente, eu usaria: setElitismLowerThanZero, por exemplo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Métodos bem definidos e com nomes bem escolhidos,Code D,,,,,,,,,,,,,
3,,,,,,,,,,,,,Partially disagree,"O nome do teste não descreve o que está sendo testado, ele descreve o resultado na operação.",automatically,"Me parece que o teste espera que uma exception aconteça dentro do try, além disso, alguns asserts são feitos depois do bloco try/catch. Por isso, o último nome parece ser mais apropriado.",manually,O nome descreve melhor o que está sendo testado e o que é executado dentro do método.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O código está mais limpo e podemos saber pelo do nome do método o que está  sendo testado.,Code D,"Possui uma melhor legibilidade e o código está mais limpo, o que permite que outros desenvolvedores possam entender e trabalhar nessa base de código. ",,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Partially agree,"Eu concordo com o nome, mas não concordo com o teste tem muita coisa sendo testada ao mesmo tempo no teste",automatically,É tentando acessar a uma posição inexistente (-1),manually,"Acredito que teste o iterator somente não faça sentido,  mas um teste que verifique que ele não seja nulo faça mais sentido de existir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O nome dos métodos possuem um significado maior e também uma granularidade maior,Code D,Além da resposa anterior os testes também possuem um assertion por teste o que é uma boa prática,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Partially agree,"Novamente, está um pouco difícil de ler o código por conta da forma dos imports e nome de variáveis. Com relação ao nome do teste parece OK, levando em consideração que os asserts são feitos dentro do catch da exceção esperada.",manually,Das três opções a última me parece a mais coerente com o que realmente acontece no teste. As duas outras não explicam bem o que é esperado.,manually,Acredito que o primeiro descreva bem melhor do que a terceira opção. Prefiro nomes de testes mais longos e descritivos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Todos estão um pouco esquisitos com nome de variáveis estranhos e utilizando nomenclatura de import no momento de utilização. Me parecem aqueles códigos ""Decompiled"" automáticos do intelliJ quando você visualiza os .classes. No entanto a D é um pouco melhor pois possui um nome coerente e operações mais enxutas. ",Code D,Adicionaria a opção D pela mesma razão argumentada no texto anterior.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Fully disagree,"Nome muito genérico, não descreve nada",manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Está amis elegivel pelo nome e organização,Code D,,,,,,,,,,,,,
3,,,,,,,,,,,,,Partially agree,Creio que o nome do teste está descrevendo bem o que o teste realmente faz,automatically,Acho que o nome ficou melhor especificado,automatically,Nome mais simples e direto pra o teste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Codigo melhor dividido e come melhores nomes de teste,Code D,Foi o código mais organizado que achei,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Fully disagree,"Ao analisar o erro lançado, não vejo relação entre o nome do teste e o comportamento validado. O erro a ser checado tem relação com o fato de population limit ser obrigatoriamente positivo, e não com a quantidade de argumentos, como dá a entender pelo nome sugerido.",automatically,"Na opção escolhida, o nome do método utilizado está no nome do teste, há o nome test antes e a exceção esperada, dando mais clareza sobre qual teste está sendo feito e o que é esperado.",manually,O nome mais completo dá mais ideia do que está sendo validado pelo teste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O fato dos testes estarem renomeados e separados ajuda na legibilidade do código.,Code D,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Partially agree,"O nome está bem descritivo mas está extenso, usaria algo do tipo testUnsuccessfulCreateElitisticListPopulationWithNegativeParam",automatically,O teste deve especificar o método e argumentos passados.,manually,"Test iterator pode ser qualquer iterator, ChromosomeIterator é bem específico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code C,O nome do teste deixa claro o que está sendo validado e não julgo necessário testar o método toString,Code C,Teste pontual da funcionalidade,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,"O teste está testando exatamente o que o nome sugere, porém não descreve o que deve acontecer, só após a leitura de todo o teste que entendemos da exception. ",automatically,A opção 2 está fora dos padrões Java bem como a exception não condiz com a presente do nome do teste. A opção 3 não é nada descritiva. A opção 1 é a que mais se aproxima do que o teste está fazendo. ,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Nome dos métodos de teste mais próximos do que é testado no body. ,Code D,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,
3,,,,,,,,,,,,,Partially agree,"O nome mostra corretamente a ideia do teste. Poderia ser ""testCompareFailsWithIllegalArgumentException""",manually,"Métodos com ""And"" no nome indicam que algo pode estar errado.",manually,"O método da linha 195 verifica se position == null, não verifica se o object == null.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Asserts separados em testes menores, com nomes mais descritivos.",Code D,"Asserts separados em testes menores, com nomes mais descritivos.",,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,Esta sendo testada uma funcionalidade da classe ElitisticListPopulation e não apenas o iterator em si.,manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,manually,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,colocar nomes relevantes é importante,Code D,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fully disagree,,automatically,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code B,,Code B,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Partially agree,"O nome é apropriado pois descreve exatamente o que o teste faz, mas achei muito grande ao ponto de ficar difícil de ler",manually,"Acredito que o nome de um teste deve descrever o que está  sendo testado de uma forma resumida, um nome grande acaba poluindo muito os logs, por exemplo, e confundindo outros desenvolvedores",manually,"Eh importante descrever o caso que está sendo testado, as outras opções são muito vagas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,"O nome ""automatically"" não demonstra qual e a finalidade do teste",manually,Acho que o nome selecionado explica o que o proposito do teste sem ser tão grande quanto o segunda opção.,manually,"Como na resposta anterior, defendo a proposta de que o nome do teste tem que explicar o que ele faz, mas também não ser muito grande",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"todos tem sua dificuldade de leitura, porém o D apresenta uma nomeclatura mais clara para os testes",Code D,por causa da nomeclatura clara ,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,O nome descreve bem a class e o que será feito no test,manually,as outras duas opções ficam muito genéricas,manually,Por ser apenas o lançamento de uma exceção na validação na definição de um limite menor ou igual a 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,O nome do metodo de teste mais legível e um teste para cada resultado esperado. Quando mais verboso melhor.,Code D,,,,,,,,,,,,,,,,,
2,,,,,,,Partially disagree,"Mais uma vez um método de teste fazendo mais de uma operação, isso poderia ser separado em 2 métodos, sugiro uma leitura muito interessante ""Livro Clean Code""",manually,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"O código para ser legível tem que apresentar métodos que fazem apenas 1 operação, seja um teste ou uma determinada função, assim sabemos exatamente o que estamos testando e o resultado esperado.",Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,Partially agree,,automatically,,manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code C,,Code C,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially agree,,automatically,,automatically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same readability,,Code C,,,,,,,,,
1,Partially disagree,Acho que deveria ter relação com a lista ser vazia. Não é muito relacionado ao fato de ser null.,automatically,Acho que deve começar sempre com test,manually,"Eu marcaria nenhuma das duas. Acho que um teste tem com que começar om ""test"". Mas o segundo nome está muito grandee acaba ficando ilegível também.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Além de separar os testes em contextos diferentes, também tem nomes mais legíveis.",Code D,"Pelo mesmo motivo anterior. Dentre as opções, o código D é mais elegível e, portanto, melhor pra ser colocado na suite de teste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,"O nome do teste deveria identificar que o propósito é somente verificar a nulidade do iterator criado, como é de fato o conteúdo do método de teste exposto.",automatically,Se trata de uma nomenclatura bastante descritiva e que não é passível de confundir com a nomenclatura de lançamento de exceção.,automatically,"Se trata de uma nomenclatura bastante descritiva, trazendo o nome do método e o objeto de teste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,"Dentre as opções, é o código que traz nomes dos métodos de teste mais significativos.",Other,Other,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fully disagree,"Um nome de testes assim como nomenclatura de métodos deve passar no título o RESUMO do que será feito, não deve EXPLICAR o que deve ser feito, para isso, parte da iniciativa do programador com seus conhecimentos e experiência analisar o código para saber do que se trata. Um exemplo, caso após um determinado tempo, o mesmo teste precise de 3 argumentos ao invés de 2.",manually,"Na verdade, os três estariam incorretos. O primeiro por ser extremamente curto e não passar ideia alguma do que o teste se trata, o segundo parte do mesmo exemplo citado acima, além de grande é EXTREMAMENTE descritivo e não suscetível a mudanças como por exemplo, receber 3 argumentos num momento posterior. O terceiro está mal formatado, mesclando Camel Case com Pascal Case.",manually,Mesmo argumento da resposta acima.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code C,Boa formatação sem deixar a classe muito extensa.,Code C,Mesma resposta da última questão
5,,,,,,,,,,,,,,,,,,,,,,,,,Neither,"Test could include the class name, like testElitisticListPopulationIterator",manually,Seems like the core assert in te test,automatically,Name is focused on the exception being thrown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Biggest part of the tests have useful titles and the scope is more limited ,Code D,Same answer,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partially disagree,Eu nem entendi o que o teste está fazendo,manually,É o que mais facilita a leitura,manually,É a linha onde o index está sendo setado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,Separado e nomes fazem sentido,Code D,Pq é legivel,,,,
1,Fully disagree,O nome não descreve o que está sendo testado pois o que está sendo testado de fato é se a aplicação trata o caso de exceção no qual o primeiro parâmetro do método addAsEqual não existe no conjunto de objetos.,manually,Ambos os valores selecionados como parâmetros não se encontram no conjunto de objetos.,manually,Porque uma IllegalArgumentException é lançada caso um dos parâmetros não se encontre no conjunto de objetos e se o comportamento for igual a UNKNOWN_THROW_EXCEPTION.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code D,,Code D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
